2024-04-12 19:53:45 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2024-04-12 19:53:45 INFO  kmeans$:36 - Input: project-q1-vectors/part-00000
2024-04-12 19:53:45 INFO  kmeans$:37 - Output path: project-q1-kmeans
2024-04-12 19:53:45 INFO  kmeans$:38 - Number of clusters: 2
2024-04-12 19:53:45 INFO  SparkContext:54 - Running Spark version 2.3.1
2024-04-12 19:53:45 INFO  SparkContext:54 - Submitted application: KMeansproject-q1-vectors/part-00000
2024-04-12 19:53:45 INFO  SecurityManager:54 - Changing view acls to: rithickumar
2024-04-12 19:53:45 INFO  SecurityManager:54 - Changing modify acls to: rithickumar
2024-04-12 19:53:45 INFO  SecurityManager:54 - Changing view acls groups to: 
2024-04-12 19:53:45 INFO  SecurityManager:54 - Changing modify acls groups to: 
2024-04-12 19:53:45 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(rithickumar); groups with view permissions: Set(); users  with modify permissions: Set(rithickumar); groups with modify permissions: Set()
2024-04-12 19:53:51 INFO  Utils:54 - Successfully started service 'sparkDriver' on port 52898.
2024-04-12 19:53:51 INFO  SparkEnv:54 - Registering MapOutputTracker
2024-04-12 19:53:51 INFO  SparkEnv:54 - Registering BlockManagerMaster
2024-04-12 19:53:51 INFO  BlockManagerMasterEndpoint:54 - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
2024-04-12 19:53:51 INFO  BlockManagerMasterEndpoint:54 - BlockManagerMasterEndpoint up
2024-04-12 19:53:51 INFO  DiskBlockManager:54 - Created local directory at /private/var/folders/jp/l319lw651tb48gz1j9rnkrjm0000gn/T/blockmgr-3a1a72a1-2863-47a7-9c40-de34d22dc25f
2024-04-12 19:53:51 INFO  MemoryStore:54 - MemoryStore started with capacity 366.3 MB
2024-04-12 19:53:51 INFO  SparkEnv:54 - Registering OutputCommitCoordinator
2024-04-12 19:53:51 INFO  log:192 - Logging initialized @17533ms
2024-04-12 19:53:51 INFO  Server:346 - jetty-9.3.z-SNAPSHOT
2024-04-12 19:53:51 INFO  Server:414 - Started @17613ms
2024-04-12 19:53:51 INFO  AbstractConnector:278 - Started ServerConnector@28c8bda6{HTTP/1.1,[http/1.1]}{0.0.0.0:4040}
2024-04-12 19:53:51 INFO  Utils:54 - Successfully started service 'SparkUI' on port 4040.
2024-04-12 19:53:51 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@4837595f{/jobs,null,AVAILABLE,@Spark}
2024-04-12 19:53:51 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5dda14d0{/jobs/json,null,AVAILABLE,@Spark}
2024-04-12 19:53:51 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@1db0ec27{/jobs/job,null,AVAILABLE,@Spark}
2024-04-12 19:53:51 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@d4ab71a{/jobs/job/json,null,AVAILABLE,@Spark}
2024-04-12 19:53:51 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@3b4ef7{/stages,null,AVAILABLE,@Spark}
2024-04-12 19:53:51 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@1af05b03{/stages/json,null,AVAILABLE,@Spark}
2024-04-12 19:53:51 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5987e932{/stages/stage,null,AVAILABLE,@Spark}
2024-04-12 19:53:51 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@438bad7c{/stages/stage/json,null,AVAILABLE,@Spark}
2024-04-12 19:53:51 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@25230246{/stages/pool,null,AVAILABLE,@Spark}
2024-04-12 19:53:51 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@4fdf8f12{/stages/pool/json,null,AVAILABLE,@Spark}
2024-04-12 19:53:51 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@4a8b5227{/storage,null,AVAILABLE,@Spark}
2024-04-12 19:53:51 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@54f5f647{/storage/json,null,AVAILABLE,@Spark}
2024-04-12 19:53:51 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6979efad{/storage/rdd,null,AVAILABLE,@Spark}
